i,sect,over_sati_with,comp_with_whic,comp_inte_with,trus_exte_of,prof_exte_of,bran_bran_outl,comp_exte_of,ease_of_doin,proc_and_proc,cust_focu_inno,enga_with_cust,orde_of_impo,orde_of_impo_1,orde_of_impo_2,orde_of_impo_3,orde_of_impo_4,orde_of_impo_5,orde_of_impo_6,orde_of_impo_7,impr_on_cust,pref_of_serv,sati_diss,like_to_reco,mean_of_inte,chan_of_inte,gend,ag,regi,high_educ,inco,nati,awar_of_surv,company_id,impr_on_cust_sentiment,nps_category,age_category,income_category
22101,2,0.8571428571428571,"FiberOne Broadband,",FIBERONE BROADBAND,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.5,0.125,0.25,0.375,0.625,0.75,0.875,Fast Internet Speed,5,5,8,Both Digital and Traditional Channels,"Mobile App,Text/Over the Phone,In Person,",Female,30 - 34,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,09AF024,COMP_00487,POSITIVE,passive,Mid-Level Professionals,Middle-High Income
22102,9,0.8571428571428571,"Westine Hotels and Spa,",WESTINE HOTEL AND SPA,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.5,0.125,0.25,0.375,0.625,0.75,0.875,Affordable rates for a decent room,6,6,9,Both Digital and Traditional Channels,"Webchat,Text/Over the Phone,In Person,",Female,30 - 34,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,09AF024,COMP_01517,NEUTRAL,promoter,Mid-Level Professionals,Middle-High Income
10532,632,1.0,"PWAN Properties,",PWAN PROPERTIES,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,0.7142857142857143,1.0,1.0,0.125,0.25,0.625,0.75,0.5,0.375,0.875,Satisfied,7,7,9,Both Digital and Traditional Channels,"Text/Over the Phone,Social Media,",Female,35 - 39,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N80,000 - N99,000",Nigerian,6C0032,COMP_01194,POSITIVE,promoter,Mid-Career,Lower-Middle Income
22104,6,0.8571428571428571,"KADUNA ELECTRICITY DISTRIBUTION COMPANY [KAEDC],",KADUNA ELECTRICITY DISTRIBUTION COMPANY [KAEDC],0.8571428571428571,1.0,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,0.125,0.75,0.5,0.625,0.25,0.375,0.875,Good,6,6,8,Both Digital and Traditional Channels,"In Person,Website,",Male,30 - 34,Kano,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N151,000 - N199,000",Nigerian,OFFIA LEVI K 6OK021,COMP_00753,POSITIVE,passive,Mid-Level Professionals,Middle-High Income
27347,1,1.0,"OPAY BANK,",OPAY BANK,1.0,1.0,0.7142857142857143,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,0.875,1.0,0.125,0.625,0.5,0.75,0.375,0.25,Impressive,4,7,10,Digital Channels,"Mobile App,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,EO202597,COMP_01081,POSITIVE,promoter,Mid-Level Professionals,Lower-Middle Income
18306,5,0.5714285714285714,"INDRIVE,",INDRIVE,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.5714285714285714,1.0,0.625,0.125,0.75,0.5,0.375,0.25,0.875,Essay Accessibility,6,5,5,Both Digital and Traditional Channels,"In Person,",Female,30 - 34,Katsina,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,"From Friend, Colleague/Family",COMP_00689,NEUTRAL,detractor,Mid-Level Professionals,Income not fixed
27435,1,0.8571428571428571,"OPAY BANK,",OPAY BANK,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,0.875,0.125,0.75,0.625,0.5,0.375,0.25,Doing well,7,7,9,Digital Channels,"Mobile App,Email,Text/Over the Phone,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,JO202824,COMP_01081,POSITIVE,promoter,Mid-Level Professionals,Income not fixed
22108,6,0.5714285714285714,"IKEJA ELECTRICITY DISTRIBUTION COMPANY [IKEDC],",IKEJA ELECTRICITY DISTRIBUTION COMPANY [IKEDC],0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,1.0,0.5,0.25,0.375,0.125,0.625,0.875,Nill,4,4,5,Both Digital and Traditional Channels,"Email,Text/Over the Phone,",Female,35 - 39,Lagos,No Education At All,"N80,000 - N99,000",Nigerian,Via My Organization,COMP_00673,NEUTRAL,detractor,Mid-Career,Lower-Middle Income
22109,6,0.5714285714285714,"IKEJA ELECTRICITY DISTRIBUTION COMPANY [IKEDC],",IKEJA ELECTRICITY DISTRIBUTION COMPANY [IKEDC],0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,1.0,0.5,0.25,0.375,0.125,0.625,0.875,Nill,4,4,5,Both Digital and Traditional Channels,"Email,Text/Over the Phone,",Female,35 - 39,Lagos,No Education At All,"N80,000 - N99,000",Nigerian,Via My Organization,COMP_00673,NEUTRAL,detractor,Mid-Career,Lower-Middle Income
22110,6,0.5714285714285714,"IKEJA ELECTRICITY DISTRIBUTION COMPANY [IKEDC],",IKEJA ELECTRICITY DISTRIBUTION COMPANY [IKEDC],0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,1.0,0.5,0.25,0.375,0.125,0.625,0.875,Nill,4,4,5,Both Digital and Traditional Channels,"Email,Text/Over the Phone,",Female,35 - 39,Lagos,No Education At All,"N80,000 - N99,000",Nigerian,Via My Organization,COMP_00673,NEUTRAL,detractor,Mid-Career,Lower-Middle Income
