company_id,sector,overall_cx_score
COMP_00330,4,50.39682539682539
COMP_00331,4,73.4126984126984
COMP_00332,9,71.42857142857143
COMP_00333,9,86.5079365079365
COMP_00334,7,74.71655328798185
COMP_00335,632,89.88095238095238
COMP_00336,4,82.27513227513226
COMP_00337,4,64.28571428571429
COMP_00338,9,82.53968253968253
COMP_00339,5,70.03968253968253
COMP_00340,5,49.8015873015873
COMP_00341,5,85.3174603174603
COMP_00342,633,57.777777777777764
COMP_00343,9,57.14285714285714
COMP_00344,7,95.63492063492065
COMP_00345,9,100.0
COMP_00346,4,17.46031746031746
COMP_00347,632,90.87301587301587
COMP_00348,4,87.30158730158729
COMP_00349,9,76.98412698412699
COMP_00350,9,76.5873015873016
COMP_00351,5,14.285714285714285
COMP_00352,9,74.60317460317461
COMP_00353,4,76.98412698412699
COMP_00354,9,55.15873015873016
COMP_00355,632,100.0
COMP_00356,7,85.7142857142857
COMP_00357,9,73.08802308802308
COMP_00358,9,72.22222222222221
COMP_00359,4,52.38095238095238
COMP_00360,9,40.87301587301586
COMP_00361,5,97.22222222222223
COMP_00362,9,79.36507936507935
COMP_00363,632,61.1111111111111
COMP_00364,9,71.42857142857143
COMP_00365,4,65.67460317460318
COMP_00366,9,71.42857142857143
COMP_00367,632,85.7142857142857
COMP_00368,4,76.52464494569757
COMP_00369,632,38.49206349206348
COMP_00370,4,75.5952380952381
COMP_00371,632,83.78684807256235
COMP_00372,632,85.7142857142857
COMP_00373,5,67.85714285714285
COMP_00374,3,36.5079365079365
COMP_00375,5,97.22222222222223
COMP_00376,1,0.0
COMP_00377,5,48.8095238095238
COMP_00378,1,0.0
COMP_00379,634,94.04761904761905
COMP_00380,9,71.42857142857143
COMP_00381,633,94.44444444444444
COMP_00382,9,86.9047619047619
COMP_00383,4,79.36507936507935
COMP_00384,9,71.82539682539682
COMP_00385,9,71.42857142857143
COMP_00386,1,0.0
COMP_00387,7,86.5079365079365
COMP_00388,632,100.0
COMP_00389,633,100.0
COMP_00390,5,49.470899470899475
COMP_00391,632,88.88888888888889
COMP_00392,5,63.88888888888888
COMP_00393,4,72.22222222222223
COMP_00394,633,64.28571428571428
COMP_00395,632,79.76190476190477
COMP_00396,8,47.86101432442896
